repo_name,created_at,age,pull_requests,releases,updated_at,language,open_issues,closed_issues,closed_issues_percent
thefuck,2015-04-08T15:08:04Z,9,0,0,2024-08-25T19:31:22Z,Python,340,0,0.0
storybook,2016-03-18T04:23:44Z,8,0,0,2024-08-25T16:30:52Z,TypeScript,1987,0,0.0
iptv,2018-11-14T22:00:57Z,6,0,0,2024-08-25T20:54:02Z,JavaScript,17,0,0.0
frp,2015-12-21T15:24:59Z,9,0,0,2024-08-25T21:51:29Z,Go,56,0,0.0
Web-Dev-For-Beginners,2020-11-10T02:44:00Z,4,0,0,2024-08-25T21:58:26Z,JavaScript,120,0,0.0
Awesome-Hacking,2016-03-30T15:47:10Z,8,0,0,2024-08-25T21:38:20Z,,18,0,0.0
every-programmer-should-know,2017-08-24T13:18:26Z,7,0,0,2024-08-25T21:52:48Z,,55,0,0.0
pytorch,2016-08-13T05:26:41Z,8,0,0,2024-08-25T20:52:51Z,Python,14793,0,0.0
tailwindcss,2017-10-06T14:59:14Z,7,0,0,2024-08-25T19:25:47Z,TypeScript,63,0,0.0
tauri,2019-07-13T09:09:37Z,5,0,0,2024-08-25T21:46:35Z,Rust,960,0,0.0
neovim,2014-01-31T13:39:22Z,10,0,0,2024-08-25T20:46:57Z,Vim Script,1779,0,0.0
yt-dlp,2020-10-26T04:22:55Z,4,0,0,2024-08-25T21:49:34Z,Python,1649,0,0.0
animate.css,2011-10-12T10:07:38Z,13,0,0,2024-08-25T21:46:30Z,CSS,40,0,0.0
realworld,2016-02-26T20:49:53Z,8,0,0,2024-08-25T21:58:50Z,TypeScript,41,0,0.0
excalidraw,2020-01-02T01:04:43Z,4,0,0,2024-08-25T20:32:21Z,TypeScript,1806,0,0.0
django,2012-04-28T02:47:18Z,12,0,0,2024-08-25T21:54:38Z,Python,247,0,0.0
nvm,2010-04-15T17:47:47Z,14,0,0,2024-08-25T20:27:15Z,Shell,351,0,0.0
app-ideas,2019-02-25T18:36:56Z,5,0,0,2024-08-25T21:57:09Z,,435,0,0.0
svelte,2016-11-20T18:13:05Z,8,0,0,2024-08-25T21:46:45Z,JavaScript,844,0,0.0
laravel,2011-06-08T03:06:08Z,13,0,0,2024-08-25T19:48:59Z,PHP,30,0,0.0
bitcoin,2010-12-19T15:16:43Z,14,0,0,2024-08-25T20:00:08Z,C++,673,0,0.0
opencv,2012-07-19T09:40:17Z,12,0,0,2024-08-25T21:55:09Z,C++,2601,0,0.0
gin,2014-06-16T23:57:25Z,10,0,0,2024-08-25T22:00:34Z,Go,789,0,0.0
mall,2018-04-04T01:11:44Z,6,0,0,2024-08-25T18:29:09Z,Java,30,0,0.0
models,2016-02-05T01:15:20Z,8,0,0,2024-08-25T12:32:29Z,Python,1247,0,0.0
FiraCode,2014-11-11T19:32:38Z,10,0,0,2024-08-25T20:56:49Z,Clojure,394,0,0.0
advanced-java,2018-10-06T11:38:30Z,6,0,0,2024-08-25T16:47:38Z,Java,5,0,0.0
LeetCodeAnimation,2018-12-06T08:01:22Z,6,0,0,2024-08-25T19:17:36Z,Java,18,0,0.0
fastapi,2018-12-08T08:21:47Z,6,0,0,2024-08-25T19:53:02Z,Python,306,0,0.0
hugo,2013-07-04T15:26:26Z,11,0,0,2024-08-25T21:17:33Z,Go,469,0,0.0
ChatGPT-Next-Web,2023-03-10T18:27:54Z,1,0,0,2024-08-25T21:12:25Z,TypeScript,436,0,0.0
awesome-mac,2016-07-17T15:33:47Z,8,0,0,2024-08-25T21:16:21Z,JavaScript,158,0,0.0
spring-boot,2012-10-19T15:02:57Z,12,0,0,2024-08-25T16:20:57Z,Java,549,0,0.0
Font-Awesome,2012-02-17T14:19:43Z,12,0,0,2024-08-25T21:13:20Z,JavaScript,4056,0,0.0
bun,2021-04-14T00:48:17Z,3,0,0,2024-08-25T21:41:12Z,Zig,3587,0,0.0
json-server,2013-11-27T13:21:13Z,11,0,0,2024-08-25T18:08:59Z,JavaScript,696,0,0.0
awesome-vue,2015-10-20T00:16:14Z,9,0,0,2024-08-25T19:06:35Z,,46,0,0.0
rustdesk,2020-09-28T15:36:08Z,4,0,0,2024-08-25T21:54:00Z,Rust,47,0,0.0
supabase,2019-10-12T05:56:49Z,5,0,0,2024-08-25T20:34:43Z,TypeScript,453,0,0.0
core,2013-09-17T07:29:48Z,11,0,0,2024-08-25T20:45:14Z,Python,2634,0,0.0
netdata,2013-06-17T18:39:10Z,11,0,0,2024-08-25T21:48:19Z,C,211,0,0.0
mermaid,2014-11-01T23:52:32Z,10,0,0,2024-08-25T21:30:31Z,JavaScript,1012,0,0.0
awesome-interview-questions,2015-11-28T09:48:17Z,9,0,0,2024-08-25T19:11:29Z,,51,0,0.0
elasticsearch,2010-02-08T13:20:56Z,14,0,0,2024-08-25T20:44:23Z,Java,4549,0,0.0
ML-For-Beginners,2021-03-03T01:34:05Z,3,0,0,2024-08-25T21:49:01Z,HTML,4,0,0.0
gpt4all,2023-03-27T18:49:32Z,1,0,0,2024-08-25T21:54:49Z,C++,551,0,0.0
moby,2013-01-18T18:10:57Z,11,0,0,2024-08-25T21:57:09Z,Go,3466,0,0.0
Front-End-Checklist,2017-10-16T10:12:36Z,7,0,0,2024-08-25T21:58:53Z,,19,0,0.0
node,2023-02-01T13:55:02Z,1,0,0,2024-08-25T21:16:57Z,Shell,21,0,0.0
github-readme-stats,2020-07-09T10:34:22Z,4,0,0,2024-08-25T21:56:54Z,JavaScript,297,0,0.0
reveal.js,2011-06-07T18:54:22Z,13,0,0,2024-08-25T18:03:14Z,JavaScript,823,0,0.0
flask,2010-04-06T11:11:59Z,14,0,0,2024-08-25T19:53:07Z,Python,10,0,0.0
code-server,2019-02-27T16:50:41Z,5,0,0,2024-08-25T21:24:49Z,TypeScript,107,0,0.0
stable-diffusion,2022-08-10T14:36:44Z,2,0,0,2024-08-25T20:29:00Z,Jupyter Notebook,590,0,0.0
funNLP,2018-08-21T11:20:39Z,6,0,0,2024-08-25T19:56:01Z,Python,256,0,0.0
swift,2015-10-23T21:15:07Z,9,0,0,2024-08-25T22:01:52Z,C++,7522,0,0.0
awesome-for-beginners,2015-10-24T19:53:36Z,9,0,0,2024-08-25T20:28:01Z,,156,0,0.0
ui,2023-01-04T12:43:27Z,1,0,0,2024-08-25T21:34:27Z,TypeScript,907,0,0.0
vite,2020-04-21T05:03:57Z,4,0,0,2024-08-25T21:50:40Z,TypeScript,610,0,0.0
whisper,2022-09-16T20:02:54Z,2,0,0,2024-08-25T18:58:57Z,Python,72,0,0.0
nest,2017-02-04T20:12:52Z,7,0,0,2024-08-25T22:00:28Z,TypeScript,119,0,0.0
